,0
5,0.51
19,0.56
20,0.55
21,0.67
23,0.775
24,0.795
27,0.6
35,0.755
56,0.645
68,0.77
70,0.58
76,0.58
78,0.57
84,0.525
102,0.56
118,0.545
122,0.58
123,0.52
125,0.805
127,0.57
145,0.56
151,0.555
162,0.69
165,0.58
167,0.625
179,0.55
198,0.585
214,0.655
221,0.51
241,0.68
246,0.605
263,0.595
264,0.555
274,0.715
293,0.645
297,0.615
323,0.545
326,0.63
343,0.63
344,0.565
348,0.585
367,0.58
373,0.76
376,0.695
393,0.59
398,0.525
407,0.705
433,0.515
439,0.685
444,0.615
468,0.675
479,0.645
484,0.955
485,0.625
499,0.545
509,0.69
510,0.57
511,0.69
514,0.605
515,0.86
536,0.605
537,0.555
539,0.61
550,0.625
551,0.58
553,0.58
556,0.59
575,0.52
582,0.645
585,0.7
589,0.635
593,0.775
597,0.685
598,0.55
600,0.705
616,0.57
623,0.585
625,0.525
626,0.62
629,0.665
638,0.635
