,0
0,0.945
1,0.615
2,0.645
3,0.815
4,0.695
7,0.91
8,0.74
9,0.775
10,0.755
11,0.785
12,0.895
13,0.62
14,0.65
15,0.89
16,0.82
17,0.87
18,0.745
22,0.665
25,0.725
26,0.85
28,0.73
29,0.67
31,0.61
32,0.74
33,0.655
34,0.61
36,0.62
37,0.615
38,0.885
39,0.77
42,0.755
43,0.605
44,0.72
45,0.74
46,0.7
47,0.895
48,0.905
49,0.695
50,0.685
51,0.895
52,0.7
53,0.865
54,0.625
55,0.81
58,0.785
59,0.8
60,0.62
61,0.695
62,0.76
63,0.73
64,0.85
66,0.65
67,0.77
69,0.73
71,0.755
72,0.6
73,0.855
74,0.785
75,0.555
77,0.7
79,0.56
80,0.62
81,0.84
82,0.84
83,0.735
85,0.74
86,0.88
87,0.685
88,0.885
89,0.615
90,0.78
91,0.63
92,0.8
93,0.7
94,0.59
95,0.755
96,0.775
97,0.745
98,0.785
99,0.5
100,0.535
101,0.835
103,0.68
104,0.685
105,0.92
106,0.78
107,0.82
108,0.59
109,0.92
110,0.785
111,0.625
112,0.745
113,0.65
114,0.68
115,0.76
116,0.535
117,0.76
119,0.86
120,0.745
121,0.73
124,0.895
126,0.56
128,0.89
129,0.68
130,0.62
131,0.74
132,0.635
133,0.805
134,0.67
135,0.615
136,0.635
137,0.505
138,0.505
139,0.855
140,0.805
141,0.825
142,0.75
143,0.645
144,0.765
146,0.51
147,0.58
148,0.635
149,0.885
150,0.785
152,0.66
153,0.69
154,0.66
155,0.615
156,0.66
157,0.55
158,0.615
159,0.665
160,0.595
161,0.645
163,0.72
164,0.745
166,0.675
168,0.645
169,0.59
170,0.64
171,0.605
172,0.7
173,0.775
174,0.835
175,0.725
176,0.745
177,0.575
178,0.84
180,0.64
181,0.855
182,0.595
183,0.59
184,0.78
185,0.77
186,0.705
187,0.625
188,0.765
189,0.645
190,0.715
191,0.54
192,0.9
193,0.78
194,0.665
195,0.66
196,0.685
197,0.675
199,0.645
200,0.835
201,0.78
202,0.52
203,0.6
204,0.72
205,0.805
206,0.73
207,0.83
208,0.55
209,0.725
210,0.8
211,0.875
212,0.645
213,0.595
215,0.565
216,0.895
217,0.675
218,0.67
219,0.58
220,0.82
222,0.64
223,0.595
224,0.725
225,0.505
226,0.555
227,0.75
228,0.875
229,0.875
230,0.8
231,0.74
232,0.895
233,0.925
234,0.82
235,0.835
236,0.685
237,0.53
238,0.79
239,0.5
240,0.745
242,0.73
243,0.695
244,0.725
245,0.595
247,0.66
248,0.835
249,0.59
250,0.75
251,0.56
252,0.82
253,0.745
254,0.8
255,0.655
256,0.56
257,0.855
258,0.85
259,0.96
260,0.665
261,0.705
262,0.64
265,0.77
266,0.935
267,0.93
268,0.71
269,0.73
270,0.755
271,0.73
272,0.665
273,0.655
275,0.87
276,0.74
277,0.78
278,0.725
279,0.625
280,0.675
281,0.83
282,0.775
283,0.83
284,0.725
285,0.78
287,0.79
288,0.795
289,0.835
290,0.76
291,0.95
292,0.54
294,0.68
295,0.785
296,0.705
298,0.625
299,0.54
300,0.62
301,0.775
302,0.51
303,0.805
304,0.66
305,0.525
306,0.58
307,0.565
308,0.755
309,0.73
310,0.61
311,0.705
312,0.69
313,0.715
314,0.76
315,0.73
316,0.625
317,0.535
318,0.695
319,0.72
320,0.68
321,0.565
322,0.865
324,0.92
325,0.69
327,0.52
328,0.605
329,0.885
330,0.79
331,0.83
332,0.72
333,0.625
334,0.835
335,0.535
336,0.6
337,0.75
338,0.66
339,0.725
340,0.77
341,0.9
342,0.85
345,0.745
346,0.78
347,0.81
349,0.84
350,0.7
351,0.915
352,0.645
353,0.755
354,0.74
355,0.685
356,0.83
357,0.81
358,0.645
359,0.73
360,0.725
361,0.86
362,0.82
363,0.56
364,0.845
365,0.845
366,0.58
368,0.645
369,0.62
370,0.855
371,0.905
372,0.78
374,0.745
375,0.685
377,0.81
378,0.725
379,0.725
380,0.725
381,0.675
382,0.55
383,0.665
384,0.725
385,0.7
386,0.725
387,0.7
388,0.915
389,0.835
390,0.9
391,0.975
392,0.775
394,0.81
395,0.52
396,0.865
397,0.67
399,0.795
400,0.54
401,0.695
402,0.6
403,0.545
404,0.79
405,0.705
406,0.54
408,0.815
409,0.745
410,0.855
411,0.915
412,0.76
413,0.835
414,0.62
415,0.955
