intervention,fpr,tpr
renal replacement,0.0,0.0
renal replacement,0.0,0.015151515151515152
renal replacement,0.0,0.3484848484848485
renal replacement,0.015151515151515152,0.3484848484848485
renal replacement,0.015151515151515152,0.6212121212121212
renal replacement,0.045454545454545456,0.6212121212121212
renal replacement,0.045454545454545456,0.6363636363636364
renal replacement,0.06060606060606061,0.6363636363636364
renal replacement,0.06060606060606061,0.6818181818181818
renal replacement,0.09090909090909091,0.6818181818181818
renal replacement,0.09090909090909091,0.7727272727272727
renal replacement,0.15151515151515152,0.7727272727272727
renal replacement,0.15151515151515152,0.7878787878787878
renal replacement,0.16666666666666666,0.7878787878787878
renal replacement,0.16666666666666666,0.8181818181818182
renal replacement,0.21212121212121213,0.8181818181818182
renal replacement,0.21212121212121213,0.8484848484848485
renal replacement,0.22727272727272727,0.8484848484848485
renal replacement,0.22727272727272727,0.8939393939393939
renal replacement,0.24242424242424243,0.8939393939393939
renal replacement,0.24242424242424243,0.9090909090909091
renal replacement,0.2727272727272727,0.9090909090909091
renal replacement,0.2727272727272727,0.9242424242424242
renal replacement,0.30303030303030304,0.9242424242424242
renal replacement,0.30303030303030304,0.9393939393939394
renal replacement,0.36363636363636365,0.9393939393939394
renal replacement,0.36363636363636365,0.9545454545454546
renal replacement,0.3939393939393939,0.9545454545454546
renal replacement,0.3939393939393939,0.9696969696969697
renal replacement,0.8333333333333334,0.9696969696969697
renal replacement,0.8333333333333334,0.9848484848484849
renal replacement,0.9545454545454546,0.9848484848484849
renal replacement,0.9545454545454546,1.0
renal replacement,1.0,1.0
