intervention,fpr,tpr
ventilator,0.0,0.0
ventilator,0.0,0.00980392156862745
ventilator,0.0,0.06862745098039216
ventilator,0.00980392156862745,0.06862745098039216
ventilator,0.00980392156862745,0.39215686274509803
ventilator,0.029411764705882353,0.39215686274509803
ventilator,0.029411764705882353,0.5294117647058824
ventilator,0.049019607843137254,0.5294117647058824
ventilator,0.049019607843137254,0.5392156862745098
ventilator,0.058823529411764705,0.5392156862745098
ventilator,0.058823529411764705,0.6274509803921569
ventilator,0.06862745098039216,0.6274509803921569
ventilator,0.06862745098039216,0.6666666666666666
ventilator,0.0784313725490196,0.6666666666666666
ventilator,0.0784313725490196,0.696078431372549
ventilator,0.08823529411764706,0.696078431372549
ventilator,0.08823529411764706,0.7058823529411765
ventilator,0.10784313725490197,0.7058823529411765
ventilator,0.10784313725490197,0.7352941176470589
ventilator,0.11764705882352941,0.7352941176470589
ventilator,0.11764705882352941,0.7450980392156863
ventilator,0.13725490196078433,0.7450980392156863
ventilator,0.13725490196078433,0.7843137254901961
ventilator,0.14705882352941177,0.7843137254901961
ventilator,0.14705882352941177,0.8431372549019608
ventilator,0.24509803921568626,0.8431372549019608
ventilator,0.24509803921568626,0.8529411764705882
ventilator,0.27450980392156865,0.8529411764705882
ventilator,0.27450980392156865,0.8725490196078431
ventilator,0.28431372549019607,0.8725490196078431
ventilator,0.28431372549019607,0.8823529411764706
ventilator,0.4019607843137255,0.8823529411764706
ventilator,0.4019607843137255,0.8921568627450981
ventilator,0.43137254901960786,0.8921568627450981
ventilator,0.43137254901960786,0.9019607843137255
ventilator,0.4411764705882353,0.9019607843137255
ventilator,0.4411764705882353,0.9215686274509803
ventilator,0.46078431372549017,0.9215686274509803
ventilator,0.46078431372549017,0.9313725490196079
ventilator,0.5196078431372549,0.9313725490196079
ventilator,0.5196078431372549,0.9509803921568627
ventilator,0.5686274509803921,0.9509803921568627
ventilator,0.5686274509803921,0.9607843137254902
ventilator,0.5980392156862745,0.9607843137254902
ventilator,0.5980392156862745,0.9705882352941176
ventilator,0.7156862745098039,0.9705882352941176
ventilator,0.7156862745098039,0.9803921568627451
ventilator,0.7254901960784313,0.9803921568627451
ventilator,0.7254901960784313,0.9901960784313726
ventilator,0.8235294117647058,0.9901960784313726
ventilator,0.8235294117647058,1.0
ventilator,1.0,1.0
