intervention,fpr,tpr
vasopressor,0.0,0.0
vasopressor,0.0,0.009433962264150943
vasopressor,0.0,0.02830188679245283
vasopressor,0.0,0.05660377358490566
vasopressor,0.0,0.0660377358490566
vasopressor,0.0,0.12264150943396226
vasopressor,0.0,0.1320754716981132
vasopressor,0.0,0.16037735849056603
vasopressor,0.0,0.1792452830188679
vasopressor,0.0,0.18867924528301888
vasopressor,0.0,0.2169811320754717
vasopressor,0.0,0.2358490566037736
vasopressor,0.009433962264150943,0.25471698113207547
vasopressor,0.009433962264150943,0.27358490566037735
vasopressor,0.009433962264150943,0.3018867924528302
vasopressor,0.018867924528301886,0.3113207547169811
vasopressor,0.018867924528301886,0.32075471698113206
vasopressor,0.02830188679245283,0.32075471698113206
vasopressor,0.02830188679245283,0.33962264150943394
vasopressor,0.02830188679245283,0.36792452830188677
vasopressor,0.02830188679245283,0.3867924528301887
vasopressor,0.02830188679245283,0.44339622641509435
vasopressor,0.02830188679245283,0.46226415094339623
vasopressor,0.02830188679245283,0.49056603773584906
vasopressor,0.02830188679245283,0.5094339622641509
vasopressor,0.02830188679245283,0.5377358490566038
vasopressor,0.02830188679245283,0.5566037735849056
vasopressor,0.02830188679245283,0.5754716981132075
vasopressor,0.02830188679245283,0.5943396226415094
vasopressor,0.03773584905660377,0.5943396226415094
vasopressor,0.04716981132075472,0.6037735849056604
vasopressor,0.04716981132075472,0.6132075471698113
vasopressor,0.05660377358490566,0.6132075471698113
vasopressor,0.05660377358490566,0.6320754716981132
vasopressor,0.05660377358490566,0.6415094339622641
vasopressor,0.0660377358490566,0.6509433962264151
vasopressor,0.0660377358490566,0.660377358490566
vasopressor,0.07547169811320754,0.6698113207547169
vasopressor,0.09433962264150944,0.6698113207547169
vasopressor,0.09433962264150944,0.6792452830188679
vasopressor,0.10377358490566038,0.6792452830188679
vasopressor,0.11320754716981132,0.6886792452830188
vasopressor,0.14150943396226415,0.7075471698113207
vasopressor,0.14150943396226415,0.7264150943396226
vasopressor,0.16037735849056603,0.7264150943396226
vasopressor,0.16981132075471697,0.7547169811320755
vasopressor,0.1792452830188679,0.7547169811320755
vasopressor,0.1792452830188679,0.7735849056603774
vasopressor,0.1792452830188679,0.7830188679245284
vasopressor,0.18867924528301888,0.7830188679245284
vasopressor,0.18867924528301888,0.7924528301886793
vasopressor,0.20754716981132076,0.7924528301886793
vasopressor,0.20754716981132076,0.8113207547169812
vasopressor,0.22641509433962265,0.8113207547169812
vasopressor,0.24528301886792453,0.8113207547169812
vasopressor,0.27358490566037735,0.8113207547169812
vasopressor,0.2830188679245283,0.8113207547169812
vasopressor,0.3113207547169811,0.839622641509434
vasopressor,0.330188679245283,0.839622641509434
vasopressor,0.33962264150943394,0.839622641509434
vasopressor,0.3584905660377358,0.8584905660377359
vasopressor,0.39622641509433965,0.8584905660377359
vasopressor,0.39622641509433965,0.8773584905660378
vasopressor,0.4056603773584906,0.8867924528301887
vasopressor,0.41509433962264153,0.8867924528301887
vasopressor,0.44339622641509435,0.8867924528301887
vasopressor,0.4811320754716981,0.8962264150943396
vasopressor,0.4811320754716981,0.9150943396226415
vasopressor,0.5,0.9150943396226415
vasopressor,0.5094339622641509,0.9150943396226415
vasopressor,0.5283018867924528,0.9150943396226415
vasopressor,0.5471698113207547,0.9245283018867925
vasopressor,0.5754716981132075,0.9245283018867925
vasopressor,0.5943396226415094,0.9245283018867925
vasopressor,0.6320754716981132,0.9339622641509434
vasopressor,0.6415094339622641,0.9339622641509434
vasopressor,0.6415094339622641,0.9433962264150944
vasopressor,0.6509433962264151,0.9528301886792453
vasopressor,0.6698113207547169,0.9528301886792453
vasopressor,0.6981132075471698,0.9528301886792453
vasopressor,0.7452830188679245,0.9528301886792453
vasopressor,0.7641509433962265,0.9528301886792453
vasopressor,0.7735849056603774,0.9528301886792453
vasopressor,0.7830188679245284,0.9622641509433962
vasopressor,0.8207547169811321,0.9622641509433962
vasopressor,0.8301886792452831,0.9716981132075472
vasopressor,0.8584905660377359,0.9811320754716981
vasopressor,0.8773584905660378,0.9811320754716981
vasopressor,0.8962264150943396,0.9811320754716981
vasopressor,0.9150943396226415,0.9905660377358491
vasopressor,0.9433962264150944,0.9905660377358491
vasopressor,0.9622641509433962,0.9905660377358491
vasopressor,0.9622641509433962,1.0
vasopressor,0.9905660377358491,1.0
vasopressor,1.0,1.0
