intervention,fpr,tpr
vasopressor,0.0,0.0
vasopressor,0.0,0.041666666666666664
vasopressor,0.0,0.125
vasopressor,0.0030581039755351682,0.125
vasopressor,0.0030581039755351682,0.16666666666666666
vasopressor,0.009174311926605505,0.16666666666666666
vasopressor,0.009174311926605505,0.25
vasopressor,0.01529051987767584,0.2916666666666667
vasopressor,0.01529051987767584,0.3333333333333333
vasopressor,0.021406727828746176,0.3333333333333333
vasopressor,0.021406727828746176,0.375
vasopressor,0.027522935779816515,0.375
vasopressor,0.03058103975535168,0.4166666666666667
vasopressor,0.039755351681957186,0.4166666666666667
vasopressor,0.039755351681957186,0.4583333333333333
vasopressor,0.039755351681957186,0.5416666666666666
vasopressor,0.04281345565749235,0.5416666666666666
vasopressor,0.04281345565749235,0.5833333333333334
vasopressor,0.05504587155963303,0.5833333333333334
vasopressor,0.06116207951070336,0.5833333333333334
vasopressor,0.0672782874617737,0.5833333333333334
vasopressor,0.07033639143730887,0.625
vasopressor,0.0764525993883792,0.625
vasopressor,0.0764525993883792,0.6666666666666666
vasopressor,0.09480122324159021,0.6666666666666666
vasopressor,0.09785932721712538,0.7083333333333334
vasopressor,0.10091743119266056,0.7083333333333334
vasopressor,0.11314984709480122,0.7083333333333334
vasopressor,0.1162079510703364,0.7083333333333334
vasopressor,0.12538226299694188,0.7083333333333334
vasopressor,0.13761467889908258,0.75
vasopressor,0.14984709480122324,0.75
vasopressor,0.1651376146788991,0.7916666666666666
vasopressor,0.18042813455657492,0.7916666666666666
vasopressor,0.18960244648318042,0.7916666666666666
vasopressor,0.2018348623853211,0.7916666666666666
vasopressor,0.20489296636085627,0.7916666666666666
vasopressor,0.21406727828746178,0.7916666666666666
vasopressor,0.22018348623853212,0.7916666666666666
vasopressor,0.22935779816513763,0.7916666666666666
vasopressor,0.2324159021406728,0.7916666666666666
vasopressor,0.24464831804281345,0.7916666666666666
vasopressor,0.26605504587155965,0.7916666666666666
vasopressor,0.2782874617737003,0.7916666666666666
vasopressor,0.29357798165137616,0.7916666666666666
vasopressor,0.2996941896024465,0.7916666666666666
vasopressor,0.308868501529052,0.7916666666666666
vasopressor,0.3149847094801223,0.7916666666666666
vasopressor,0.3241590214067278,0.7916666666666666
vasopressor,0.3302752293577982,0.7916666666666666
vasopressor,0.3425076452599388,0.7916666666666666
vasopressor,0.3486238532110092,0.7916666666666666
vasopressor,0.3516819571865443,0.8333333333333334
vasopressor,0.3547400611620795,0.8333333333333334
vasopressor,0.3730886850152905,0.8333333333333334
vasopressor,0.38837920489296635,0.8333333333333334
vasopressor,0.40672782874617736,0.8333333333333334
vasopressor,0.41590214067278286,0.9166666666666666
vasopressor,0.42813455657492355,0.9583333333333334
vasopressor,0.43730886850152906,0.9583333333333334
vasopressor,0.44954128440366975,0.9583333333333334
vasopressor,0.45871559633027525,0.9583333333333334
vasopressor,0.4709480122324159,0.9583333333333334
vasopressor,0.4801223241590214,0.9583333333333334
vasopressor,0.5015290519877675,0.9583333333333334
vasopressor,0.5045871559633027,0.9583333333333334
vasopressor,0.5198776758409785,0.9583333333333334
vasopressor,0.5290519877675841,0.9583333333333334
vasopressor,0.5474006116207951,1.0
vasopressor,0.5657492354740061,1.0
vasopressor,0.5749235474006116,1.0
vasopressor,0.599388379204893,1.0
vasopressor,0.6085626911314985,1.0
vasopressor,0.6146788990825688,1.0
vasopressor,0.6330275229357798,1.0
vasopressor,0.654434250764526,1.0
vasopressor,0.6636085626911316,1.0
vasopressor,0.6850152905198776,1.0
vasopressor,0.6880733944954128,1.0
vasopressor,0.7064220183486238,1.0
vasopressor,0.7186544342507645,1.0
vasopressor,0.7370030581039755,1.0
vasopressor,0.7492354740061162,1.0
vasopressor,0.7737003058103975,1.0
vasopressor,0.7920489296636085,1.0
vasopressor,0.7981651376146789,1.0
vasopressor,0.8012232415902141,1.0
vasopressor,0.8165137614678899,1.0
vasopressor,0.8226299694189603,1.0
vasopressor,0.8409785932721713,1.0
vasopressor,0.8501529051987767,1.0
vasopressor,0.8746177370030581,1.0
vasopressor,0.8837920489296636,1.0
vasopressor,0.8960244648318043,1.0
vasopressor,0.9051987767584098,1.0
vasopressor,0.908256880733945,1.0
vasopressor,0.9143730886850153,1.0
vasopressor,0.9174311926605505,1.0
vasopressor,0.9357798165137615,1.0
vasopressor,0.944954128440367,1.0
vasopressor,0.9571865443425076,1.0
vasopressor,0.9602446483180428,1.0
vasopressor,0.9785932721712538,1.0
vasopressor,0.981651376146789,1.0
vasopressor,0.9877675840978594,1.0
vasopressor,0.9908256880733946,1.0
vasopressor,0.9969418960244648,1.0
vasopressor,1.0,1.0
