intervention,fpr,tpr
ventilator,0.0,0.0
ventilator,0.0,0.0049504950495049506
ventilator,0.0,0.3465346534653465
ventilator,0.0049504950495049506,0.3465346534653465
ventilator,0.0049504950495049506,0.40594059405940597
ventilator,0.009900990099009901,0.40594059405940597
ventilator,0.009900990099009901,0.5297029702970297
ventilator,0.01485148514851485,0.5297029702970297
ventilator,0.01485148514851485,0.5594059405940595
ventilator,0.019801980198019802,0.5594059405940595
ventilator,0.019801980198019802,0.6782178217821783
ventilator,0.024752475247524754,0.6782178217821783
ventilator,0.024752475247524754,0.6881188118811881
ventilator,0.0297029702970297,0.6881188118811881
ventilator,0.0297029702970297,0.7029702970297029
ventilator,0.039603960396039604,0.7029702970297029
ventilator,0.039603960396039604,0.7178217821782178
ventilator,0.04455445544554455,0.7178217821782178
ventilator,0.04455445544554455,0.7227722772277227
ventilator,0.04950495049504951,0.7227722772277227
ventilator,0.04950495049504951,0.7326732673267327
ventilator,0.054455445544554455,0.7326732673267327
ventilator,0.054455445544554455,0.7475247524752475
ventilator,0.0594059405940594,0.7475247524752475
ventilator,0.0594059405940594,0.7524752475247525
ventilator,0.06435643564356436,0.7524752475247525
ventilator,0.06435643564356436,0.7623762376237624
ventilator,0.06930693069306931,0.7623762376237624
ventilator,0.06930693069306931,0.7772277227722773
ventilator,0.07920792079207921,0.7772277227722773
ventilator,0.07920792079207921,0.7821782178217822
ventilator,0.08415841584158416,0.7821782178217822
ventilator,0.08415841584158416,0.8168316831683168
ventilator,0.0891089108910891,0.8168316831683168
ventilator,0.0891089108910891,0.8217821782178217
ventilator,0.09405940594059406,0.8217821782178217
ventilator,0.09405940594059406,0.8316831683168316
ventilator,0.1188118811881188,0.8316831683168316
ventilator,0.1188118811881188,0.8465346534653465
ventilator,0.12871287128712872,0.8465346534653465
ventilator,0.12871287128712872,0.8613861386138614
ventilator,0.14356435643564355,0.8613861386138614
ventilator,0.14356435643564355,0.8663366336633663
ventilator,0.15841584158415842,0.8663366336633663
ventilator,0.15841584158415842,0.8712871287128713
ventilator,0.16831683168316833,0.8712871287128713
ventilator,0.16831683168316833,0.8762376237623762
ventilator,0.18811881188118812,0.8762376237623762
ventilator,0.18811881188118812,0.8811881188118812
ventilator,0.22277227722772278,0.8811881188118812
ventilator,0.22277227722772278,0.8861386138613861
ventilator,0.23267326732673269,0.8861386138613861
ventilator,0.23267326732673269,0.8910891089108911
ventilator,0.2376237623762376,0.8910891089108911
ventilator,0.2376237623762376,0.900990099009901
ventilator,0.24257425742574257,0.900990099009901
ventilator,0.24257425742574257,0.905940594059406
ventilator,0.24752475247524752,0.905940594059406
ventilator,0.24752475247524752,0.9207920792079208
ventilator,0.27722772277227725,0.9207920792079208
ventilator,0.27722772277227725,0.9306930693069307
ventilator,0.3069306930693069,0.9306930693069307
ventilator,0.3069306930693069,0.9356435643564357
ventilator,0.3217821782178218,0.9356435643564357
ventilator,0.3217821782178218,0.9455445544554455
ventilator,0.4207920792079208,0.9455445544554455
ventilator,0.4207920792079208,0.9554455445544554
ventilator,0.45544554455445546,0.9554455445544554
ventilator,0.45544554455445546,0.9603960396039604
ventilator,0.47029702970297027,0.9603960396039604
ventilator,0.47029702970297027,0.9653465346534653
ventilator,0.49504950495049505,0.9653465346534653
ventilator,0.49504950495049505,0.9702970297029703
ventilator,0.5198019801980198,0.9702970297029703
ventilator,0.5198019801980198,0.9752475247524752
ventilator,0.5346534653465347,0.9752475247524752
ventilator,0.5346534653465347,0.9801980198019802
ventilator,0.5693069306930693,0.9801980198019802
ventilator,0.5693069306930693,0.9851485148514851
ventilator,0.6287128712871287,0.9851485148514851
ventilator,0.6287128712871287,0.9900990099009901
ventilator,0.7029702970297029,0.9900990099009901
ventilator,0.7029702970297029,0.995049504950495
ventilator,0.7821782178217822,0.995049504950495
ventilator,0.7821782178217822,1.0
ventilator,1.0,1.0
