intervention,fpr,tpr
ventilator,0.0,0.0
ventilator,0.0,0.008620689655172414
ventilator,0.0,0.5344827586206896
ventilator,0.007751937984496124,0.5344827586206896
ventilator,0.007751937984496124,0.603448275862069
ventilator,0.015503875968992248,0.603448275862069
ventilator,0.015503875968992248,0.7241379310344828
ventilator,0.023255813953488372,0.7241379310344828
ventilator,0.023255813953488372,0.7413793103448276
ventilator,0.031007751937984496,0.7413793103448276
ventilator,0.031007751937984496,0.7758620689655172
ventilator,0.03875968992248062,0.7758620689655172
ventilator,0.03875968992248062,0.7844827586206896
ventilator,0.05426356589147287,0.7844827586206896
ventilator,0.05426356589147287,0.7931034482758621
ventilator,0.06201550387596899,0.7931034482758621
ventilator,0.06201550387596899,0.8103448275862069
ventilator,0.06976744186046512,0.8103448275862069
ventilator,0.06976744186046512,0.8362068965517241
ventilator,0.07751937984496124,0.8362068965517241
ventilator,0.07751937984496124,0.8706896551724138
ventilator,0.10077519379844961,0.8706896551724138
ventilator,0.10077519379844961,0.8879310344827587
ventilator,0.10852713178294573,0.8879310344827587
ventilator,0.10852713178294573,0.896551724137931
ventilator,0.12403100775193798,0.896551724137931
ventilator,0.12403100775193798,0.9051724137931034
ventilator,0.13178294573643412,0.9051724137931034
ventilator,0.13178294573643412,0.9137931034482759
ventilator,0.17054263565891473,0.9137931034482759
ventilator,0.17054263565891473,0.9224137931034483
ventilator,0.1937984496124031,0.9224137931034483
ventilator,0.1937984496124031,0.9310344827586207
ventilator,0.20155038759689922,0.9310344827586207
ventilator,0.20155038759689922,0.9396551724137931
ventilator,0.21705426356589147,0.9396551724137931
ventilator,0.21705426356589147,0.9482758620689655
ventilator,0.2558139534883721,0.9482758620689655
ventilator,0.2558139534883721,0.9568965517241379
ventilator,0.34108527131782945,0.9568965517241379
ventilator,0.34108527131782945,0.9655172413793104
ventilator,0.3953488372093023,0.9655172413793104
ventilator,0.3953488372093023,0.9741379310344828
ventilator,0.40310077519379844,0.9741379310344828
ventilator,0.40310077519379844,0.9827586206896551
ventilator,0.689922480620155,0.9827586206896551
ventilator,0.689922480620155,0.9913793103448276
ventilator,0.7364341085271318,0.9913793103448276
ventilator,0.7364341085271318,1.0
ventilator,1.0,1.0
