intervention,fpr,tpr
vasopressor,0.0,0.0
vasopressor,0.0,0.004629629629629629
vasopressor,0.0,0.032407407407407406
vasopressor,0.0,0.041666666666666664
vasopressor,0.0,0.05555555555555555
vasopressor,0.0,0.07407407407407407
vasopressor,0.0,0.08333333333333333
vasopressor,0.0,0.1111111111111111
vasopressor,0.0,0.14814814814814814
vasopressor,0.0012787723785166241,0.16203703703703703
vasopressor,0.0012787723785166241,0.18055555555555555
vasopressor,0.0012787723785166241,0.19444444444444445
vasopressor,0.0025575447570332483,0.2175925925925926
vasopressor,0.0038363171355498722,0.2222222222222222
vasopressor,0.0038363171355498722,0.23148148148148148
vasopressor,0.0038363171355498722,0.2361111111111111
vasopressor,0.0038363171355498722,0.2638888888888889
vasopressor,0.0038363171355498722,0.27314814814814814
vasopressor,0.0038363171355498722,0.28703703703703703
vasopressor,0.0038363171355498722,0.2916666666666667
vasopressor,0.0076726342710997444,0.2962962962962963
vasopressor,0.0076726342710997444,0.3055555555555556
vasopressor,0.0076726342710997444,0.3194444444444444
vasopressor,0.008951406649616368,0.3333333333333333
vasopressor,0.010230179028132993,0.3425925925925926
vasopressor,0.01278772378516624,0.3425925925925926
vasopressor,0.01278772378516624,0.3472222222222222
vasopressor,0.01278772378516624,0.35648148148148145
vasopressor,0.01278772378516624,0.37037037037037035
vasopressor,0.015345268542199489,0.37962962962962965
vasopressor,0.015345268542199489,0.38425925925925924
vasopressor,0.015345268542199489,0.39814814814814814
vasopressor,0.015345268542199489,0.4027777777777778
vasopressor,0.016624040920716114,0.4212962962962963
vasopressor,0.016624040920716114,0.4351851851851852
vasopressor,0.016624040920716114,0.4444444444444444
vasopressor,0.016624040920716114,0.4583333333333333
vasopressor,0.017902813299232736,0.4722222222222222
vasopressor,0.020460358056265986,0.4861111111111111
vasopressor,0.021739130434782608,0.5046296296296297
vasopressor,0.021739130434782608,0.5138888888888888
vasopressor,0.024296675191815855,0.5277777777777778
vasopressor,0.026854219948849106,0.5370370370370371
vasopressor,0.026854219948849106,0.5509259259259259
vasopressor,0.028132992327365727,0.5555555555555556
